DATE TIME; ACTION; MODUL; MESSAGE;  

2025-10-12 03:38:16; Login ; ; ; 
2025-10-12 03:38:16; Open ; dashboard; ; 
2025-10-12 03:39:51; Logout ; ; ; 
2025-10-12 03:39:57; Login ; ; ; 
2025-10-12 03:39:57; Open ; dashboard; ; 
2025-10-12 03:41:36; Open ; dashboard; ; 
2025-10-12 03:43:09; Open ; dashboard; ; 
2025-10-12 03:45:14; Open ; dashboard; ; 
2025-10-12 03:45:23; Open ; dashboard; ; 
2025-10-12 03:45:54; Open ; dashboard; ; 
2025-10-12 03:45:57; Open ; dashboard; ; 
2025-10-12 03:47:41; Open ; dashboard; ; 
2025-10-12 03:47:46; Open ; dashboard; ; 
2025-10-12 03:48:03; Open ; dashboard; ; 
2025-10-12 03:48:36; Logout ; ; ; 
2025-10-12 03:48:46; Login ; ; ; 
2025-10-12 03:48:47; Open ; dashboard; ; 
2025-10-12 03:49:22; Open ; dashboard; ; 
2025-10-12 03:50:03; Open ; dashboard; ; 
2025-10-12 03:50:15; Open ; dashboard; ; 
2025-10-12 03:51:51; Open ; dashboard; ; 
2025-10-12 03:51:53; Open ; dashboard; ; 
2025-10-12 03:52:20; Open ; dashboard; ; 
2025-10-12 03:52:20; Open ; dashboard; ; 
2025-10-12 03:52:21; Open ; dashboard; ; 
2025-10-12 03:52:21; Open ; dashboard; ; 
2025-10-12 03:54:35; Open ; dashboard; ; 
2025-10-12 03:55:04; Open ; dashboard; ; 
2025-10-12 03:55:05; Open ; dashboard; ; 
2025-10-12 03:56:01; Open ; dashboard; ; 
2025-10-12 03:56:40; Open ; dashboard; ; 
2025-10-12 03:56:54; Open ; dashboard; ; 
2025-10-12 03:58:18; Open ; dashboard; ; 
2025-10-12 03:58:38; Open ; dashboard; ; 
2025-10-12 03:59:13; Open ; dashboard; ; 
2025-10-12 03:59:29; Open ; dashboard; ; 
2025-10-12 03:59:38; Open ; dashboard; ; 
2025-10-12 04:00:57; Open ; dashboard; ; 
2025-10-12 04:02:14; Open ; dashboard; ; 
2025-10-12 04:02:44; Open ; dashboard; ; 
2025-10-12 04:05:47; Open ; dashboard; ; 
2025-10-12 04:05:49; Open ; dashboard; ; 
2025-10-12 04:07:42; Open ; dashboard; ; 
2025-10-12 04:07:44; Open ; dashboard; ; 
2025-10-12 04:08:04; Open ; dashboard; ; 
2025-10-12 04:08:06; Open ; dashboard; ; 
2025-10-12 04:08:43; Open ; dashboard; ; 
2025-10-12 04:10:31; Open ; dashboard; ; 
2025-10-12 04:12:52; Open ; dashboard; ; 
2025-10-12 04:14:00; Open ; dashboard; ; 
2025-10-12 04:14:40; Open ; main/data_full; ; 
2025-10-12 04:16:06; Open ; main/data_full; ; 
2025-10-12 04:17:02; Open ; main/sebaran_anggota; ; 
2025-10-12 04:18:51; Open ; main/sebaran_anggota; ; 
2025-10-12 04:21:03; Open ; main/sebaran_anggota; ; 
2025-10-12 04:26:04; Open ; main/sebaran_anggota; ; 
2025-10-12 04:31:08; Open ; main/sebaran_rs; ; 
2025-10-12 04:32:23; Open ; main/sebaran_rs; ; 
2025-10-12 04:33:22; Open ; main/sebaran_rs; ; 
2025-10-12 04:34:35; Open ; main/sebaran_rs; ; 
2025-10-12 04:35:00; Open ; main/sebaran_rs; ; 
2025-10-12 04:36:40; Open ; main/sebaran_rs; ; 
2025-10-12 04:39:03; Open ; main/cabang; ; 
2025-10-12 04:41:08; Open ; dashboard; ; 
2025-10-12 04:41:11; Open ; main/cabang; ; 
2025-10-12 04:41:54; Open ; main/cabang; ; 
2025-10-12 04:44:27; Open ; main/cabang; ; 
2025-10-12 04:46:25; Open ; main/cabang; ; 
2025-10-12 04:56:53; Open ; main/sebaran_anggota; ; 
