DATE TIME; ACTION; MODUL; MESSAGE; 
2025-12-19 08:02:20; Open ; setting/user; ; 
2025-12-19 08:03:40; Open ; setting/combo; ; 
2025-12-19 08:10:05; Open ; setting/combo; ; 
2025-12-19 08:14:16; Open ; spk/kriteria; Not Allow Access; 
2025-12-19 08:14:16; Open ; spk/kriteria; Not Allow Access; 
2025-12-19 08:14:22; Open ; dashboard; ; 
2025-12-19 08:14:23; Open ; spk/kriteria; Not Allow Access; 
2025-12-19 08:14:25; Open ; spk/alternatif; Not Allow Access; 
2025-12-19 08:14:27; Open ; spk/alternatif; Not Allow Access; 
2025-12-19 08:14:29; Open ; spk/alternatif; Not Allow Access; 
2025-12-19 08:14:30; Open ; spk/alternatif; Not Allow Access; 
2025-12-19 08:14:37; Open ; setting/combo; ; 
2025-12-19 08:15:03; Open ; spk/kriteria; Not Allow Access; 
2025-12-19 08:18:42; Open ; setting/user_group; ; 
2025-12-19 08:21:44; Open ; setting/user_group; ; 
2025-12-19 08:21:46; Open ; dashboard; ; 
2025-12-19 08:23:07; Open ; dashboard; ; 
2025-12-19 08:23:08; Open ; dashboard; ; 
2025-12-19 08:23:11; Open ; dashboard; ; 
2025-12-19 08:23:13; Open ; dashboard; ; 
2025-12-19 08:23:14; Open ; dashboard; ; 
2025-12-19 08:23:44; Open ; dashboard; ; 
2025-12-19 08:23:46; Open ; dashboard; ; 
2025-12-19 08:23:48; Open ; dashboard; ; 
2025-12-19 08:23:50; Open ; setting/user_group; ; 
2025-12-19 08:24:04; Open ; setting/menu; ; 
2025-12-19 08:24:12; Open ; dashboard; ; 
2025-12-19 08:24:14; Open ; dashboard; ; 
2025-12-19 08:39:17; Open ; dashboard; ; 
2025-12-19 08:39:19; Open ; dashboard; ; 
2025-12-19 08:39:22; Open ; dashboard; ; 
2025-12-19 08:42:38; Open ; kriteria; ; 
2025-12-19 08:43:16; Open ; kriteria; ; 
2025-12-19 08:44:54; Open ; kriteria; ; 
2025-12-19 08:45:02; Open ; setting/user_group; ; 
2025-12-19 08:45:05; Open ; setting/user; ; 
2025-12-19 08:45:08; Open ; kriteria; ; 
2025-12-19 08:45:32; Open ; kriteria; ; 
2025-12-19 08:46:03; Add ; kriteria; {"id_kriteria":"7dae15b3-5541-46eb-b293-cc135178471e","nama_kriteria":"RAM","bobot":"80","atribut":"benefit","created_date":"2025-12-19 08:46:03","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 08:46:12; Open ; setting/user; ; 
2025-12-19 08:46:16; Open ; setting/combo; ; 
2025-12-19 08:46:26; Open ; setting/defaults; ; 
2025-12-19 08:46:31; Open ; kriteria; ; 
2025-12-19 08:46:34; Open ; setting/defaults; ; 
2025-12-19 08:46:35; Open ; kriteria; ; 
2025-12-19 08:46:36; Open ; setting/defaults; ; 
2025-12-19 08:46:38; Open ; kriteria; ; 
2025-12-19 08:46:39; Open ; setting/defaults; ; 
2025-12-19 08:46:40; Open ; kriteria; ; 
2025-12-19 08:49:35; Open ; kriteria; ; 
2025-12-19 08:49:59; Open ; setting/user_group; ; 
2025-12-19 08:50:03; Open ; kriteria; ; 
2025-12-19 08:50:09; Open ; setting/user_group; ; 
2025-12-19 08:51:02; Open ; kriteria; ; 
2025-12-19 08:52:08; Open ; kriteria; ; 
2025-12-19 08:52:25; Open ; kriteria; ; 
2025-12-19 08:53:21; Open ; kriteria; ; 
2025-12-19 08:53:38; Open ; kriteria; ; 
2025-12-19 08:53:59; Open ; kriteria; ; 
2025-12-19 08:54:24; Open ; kriteria; ; 
2025-12-19 08:54:45; Open ; kriteria; ; 
2025-12-19 08:57:14; Open ; kriteria; ; 
2025-12-19 08:58:25; Open ; kriteria; ; 
2025-12-19 08:59:55; Open ; setting/user_group; ; 
2025-12-19 08:59:58; Open ; setting/combo; ; 
2025-12-19 09:00:19; Open ; setting/user_group; ; 
2025-12-19 09:00:25; Open ; setting/user_group; ; 
2025-12-19 09:00:25; Open ; kriteria; ; 
2025-12-19 09:04:55; Open ; kriteria; ; 
2025-12-19 09:05:02; Update ; kriteria; {"id_kriteria":"7dae15b3-5541-46eb-b293-cc135178471e","nama_kriteria":"RAM","bobot":"80","atribut":"cost","modified_date":"2025-12-19 09:05:02","modified_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 09:08:29; Add ; kriteria; {"id_kriteria":"5308e513-ed1e-46e9-b32a-ee9455db466d","nama_kriteria":"Processor","bobot":"90","atribut":"benefit","created_date":"2025-12-19 09:08:29","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 09:08:44; Open ; setting/user; ; 
2025-12-19 09:09:01; Open ; kriteria; ; 
2025-12-19 09:15:56; Open ; kriteria; ; 
2025-12-19 09:16:00; Open ; kriteria; ; 
2025-12-19 09:16:17; Open ; alternatif; ; 
2025-12-19 09:16:17; Open ; alternatif; ; 
2025-12-19 09:16:24; Open ; kriteria; ; 
2025-12-19 09:16:26; Open ; alternatif; ; 
2025-12-19 09:16:44; Open ; alternatif; ; 
2025-12-19 09:17:04; Add ; alternatif; {"id_alternatif":"08b65c58-6f00-4763-b4e8-a6a082da2cf6","nama_alternatif":"MacBook Pro","created_date":"2025-12-19 09:17:04","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 09:17:24; Open ; alternatif; ; 
2025-12-19 09:21:16; Open ; alternatif; ; 
2025-12-19 09:21:50; Open ; setting/user_group; ; 
2025-12-19 09:21:53; Open ; kriteria; ; 
2025-12-19 09:21:57; Open ; alternatif; ; 
2025-12-19 09:23:18; Open ; alternatif; ; 
2025-12-19 09:25:07; Open ; kriteria; ; 
2025-12-19 09:25:13; Open ; alternatif; ; 
2025-12-19 09:26:29; Open ; alternatif; ; 
2025-12-19 09:26:33; Open ; kriteria; ; 
2025-12-19 09:26:36; Open ; alternatif; ; 
2025-12-19 09:27:09; Open ; alternatif; ; 
2025-12-19 09:27:32; Open ; alternatif; ; 
2025-12-19 09:27:40; Update ; alternatif; {"id_alternatif":"08b65c58-6f00-4763-b4e8-a6a082da2cf6","nama_alternatif":"MacBook Pro M1","modified_date":"2025-12-19 09:27:40","modified_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 09:27:43; Open ; alternatif; ; 
2025-12-19 09:27:53; Add ; alternatif; {"id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","nama_alternatif":"Thinkpad ","created_date":"2025-12-19 09:27:53","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 09:27:58; Open ; kriteria; ; 
2025-12-19 09:27:59; Open ; alternatif; ; 
2025-12-19 09:28:01; Open ; setting/user_group; ; 
2025-12-19 09:28:03; Open ; alternatif; ; 
2025-12-19 09:28:07; Open ; alternatif; ; 
2025-12-19 09:40:51; Open ; kriteria; ; 
2025-12-19 09:40:53; Open ; alternatif; ; 
2025-12-19 09:40:57; Open ; kriteria; ; 
2025-12-19 09:40:59; Open ; alternatif; ; 
2025-12-19 09:41:00; Open ; kriteria; ; 
2025-12-19 09:41:01; Open ; alternatif; ; 
2025-12-19 09:53:33; Open ; alternatif; ; 
2025-12-19 09:55:39; Open ; alternatif; ; 
2025-12-19 09:55:41; Open ; penilaian; ; 
2025-12-19 09:56:22; Open ; penilaian; ; 
2025-12-19 09:57:16; Open ; penilaian; ; 
2025-12-19 09:57:18; Open ; alternatif; ; 
2025-12-19 09:57:20; Open ; penilaian; ; 
2025-12-19 09:58:00; Open ; penilaian; ; 
2025-12-19 09:58:01; Open ; alternatif; ; 
2025-12-19 09:58:04; Open ; dashboard; ; 
2025-12-19 09:58:05; Open ; kriteria; ; 
2025-12-19 09:58:07; Open ; alternatif; ; 
2025-12-19 09:58:08; Open ; penilaian; ; 
2025-12-19 10:00:26; Open ; penilaian; ; 
2025-12-19 10:00:27; Open ; alternatif; ; 
2025-12-19 10:00:29; Open ; penilaian; ; 
2025-12-19 10:01:23; Open ; penilaian; ; 
2025-12-19 10:01:26; Open ; alternatif; ; 
2025-12-19 10:01:32; Open ; penilaian; ; 
2025-12-19 10:03:17; Open ; penilaian; ; 
2025-12-19 10:03:37; Add ; penilaian; {"id_nilai":"6bdd7f5f-2c0d-4681-b12a-28d058f1a90e","id_alternatif":"08b65c58-6f00-4763-b4e8-a6a082da2cf6","id_kriteria":"5308e513-ed1e-46e9-b32a-ee9455db466d","nilai":"5","created_date":"2025-12-19 10:03:37","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 10:06:03; Open ; penilaian; ; 
2025-12-19 10:06:30; Open ; penilaian; ; 
2025-12-19 10:07:17; Open ; penilaian; ; 
2025-12-19 10:07:24; Open ; penilaian; ; 
2025-12-19 15:24:20; Login ; ; ; 
2025-12-19 15:24:20; Open ; dashboard; ; 
2025-12-19 15:24:24; Open ; penilaian; ; 
2025-12-19 15:24:33; Open ; penilaian; ; 
2025-12-19 15:26:10; Open ; penilaian; ; 
2025-12-19 15:30:02; Open ; penilaian; ; 
2025-12-19 15:30:35; Open ; penilaian; ; 
2025-12-19 15:30:37; Open ; alternatif; ; 
2025-12-19 15:30:39; Open ; penilaian; ; 
2025-12-19 15:33:40; Open ; penilaian; ; 
2025-12-19 15:33:43; Open ; alternatif; ; 
2025-12-19 15:33:45; Open ; kriteria; ; 
2025-12-19 15:33:47; Open ; penilaian; ; 
2025-12-19 15:34:00; Open ; penilaian; ; 
2025-12-19 15:37:21; Open ; penilaian; ; 
2025-12-19 15:37:42; Add ; penilaian; {"id_nilai":"371bf819-5544-4a0a-b6ca-e9e6ede1260b","id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","id_kriteria":"7dae15b3-5541-46eb-b293-cc135178471e","nilai":"3","created_date":"2025-12-19 15:37:42","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 15:37:51; Update ; penilaian; {"id_nilai":"371bf819-5544-4a0a-b6ca-e9e6ede1260b","id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","id_kriteria":"7dae15b3-5541-46eb-b293-cc135178471e","nilai":"4","modified_date":"2025-12-19 15:37:51","modified_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 15:47:33; Open ; penilaian; ; 
2025-12-19 15:47:37; Open ; perhitungan; ; 
2025-12-19 15:47:41; Open ; penilaian; ; 
2025-12-19 15:47:59; Open ; perhitungan; ; 
2025-12-19 15:48:01; Open ; penilaian; ; 
2025-12-19 15:48:02; Open ; perhitungan; ; 
2025-12-19 15:48:38; Open ; perhitungan; ; 
2025-12-19 15:48:44; Add ; perhitungan; {"id_normalisasi":"11d4b8b9-bb46-41fa-8b61-208668ca6143","id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","id_kriteria":"5308e513-ed1e-46e9-b32a-ee9455db466d","nilai_normalisasi":"0.5","created_date":"2025-12-19 15:48:44","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 15:48:53; Add ; perhitungan; {"id_normalisasi":"45543073-7e99-400e-a6fe-b0453013f079","id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","id_kriteria":"5308e513-ed1e-46e9-b32a-ee9455db466d","nilai_normalisasi":"0.5","created_date":"2025-12-19 15:48:53","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 15:49:57; Open ; perhitungan; ; 
2025-12-19 15:51:35; Open ; perhitungan; ; 
2025-12-19 15:51:42; Add ; perhitungan; {"id_normalisasi":"464143ed-2a6f-46af-9388-f2a7cbaaacf1","id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","id_kriteria":"5308e513-ed1e-46e9-b32a-ee9455db466d","nilai_normalisasi":"0.3","created_date":"2025-12-19 15:51:42","created_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 15:52:04; Open ; perhitungan; ; 
2025-12-19 15:52:56; Open ; perhitungan; ; 
2025-12-19 15:53:36; Open ; perhitungan; ; 
2025-12-19 15:53:45; Open ; perhitungan; ; 
2025-12-19 15:54:12; Open ; penilaian; ; 
2025-12-19 15:54:14; Open ; penilaian; ; 
2025-12-19 15:54:15; Open ; perhitungan; ; 
2025-12-19 15:54:22; Update ; perhitungan; {"id_normalisasi":"464143ed-2a6f-46af-9388-f2a7cbaaacf1","id_alternatif":"1a68c43e-3901-4da1-810c-d1ab3481747c","id_kriteria":"5308e513-ed1e-46e9-b32a-ee9455db466d","nilai_normalisasi":"0.2","modified_date":"2025-12-19 15:54:22","modified_user":"31edddfe-5885-44ac-b48f-f56c59b1cc5b"}; 
2025-12-19 16:03:33; Open ; penilaian; ; 
2025-12-19 16:03:35; Open ; perhitungan; ; 
