DATE TIME; ACTION; MODUL; MESSAGE;  

2024-10-18 03:18:58; Login ; ; ; 
2024-10-18 03:18:59; Open ; dashboard; ; 
2024-10-18 03:19:52; Open ; perusahaan/perusahaan; ; 
2024-10-18 03:21:03; Logout ; ; ; 
2025-03-16 06:27:02; Login ; ; ; 
2025-03-16 06:27:02; Open ; dashboard; ; 
2025-03-16 06:28:30; Open ; dashboard; ; 
2025-03-16 06:28:30; Open ; dashboard; ; 
2025-03-16 06:28:39; Open ; dashboard; ; 
2025-03-16 06:28:47; Open ; setting/menu; ; 
2025-03-16 06:29:04; Delete ; setting/menu; 9b240535-eef1-4b84-ac58-add18ea9c86c; 
2025-03-16 06:29:09; Delete ; setting/menu; 48929199-2ec8-42db-ac80-9af1248649b2; 
2025-03-16 06:29:26; Delete ; setting/menu; e66a7873-a230-449a-aeed-1f50a21740fc; 
2025-03-16 06:29:27; Delete ; setting/menu; ac346b7e-7c68-4f49-8303-c85269a3b6eb; 
2025-03-16 06:29:28; Delete ; setting/menu; 99256f13-4880-400c-bdcc-59402b2bb8c6; 
2025-03-16 06:29:30; Delete ; setting/menu; 33ac29bb-712c-4459-af66-a2f64ce221b8; 
2025-03-16 06:29:42; Delete ; setting/menu; 6a6a986e-e3db-46d5-8659-f1d479d75721; 
2025-03-16 06:29:44; Delete ; setting/menu; d46ae255-e4c7-4ad1-afe9-10bdbcc3f488; 
2025-03-16 06:29:46; Delete ; setting/menu; 698bd177-c3de-4e8d-b14c-37f8cd4698d4; 
2025-03-16 06:29:49; Delete ; setting/menu; f205fb3a-75cf-4b12-9ab5-db742511e1e4; 
2025-03-16 06:29:50; Delete ; setting/menu; 451ad322-edbb-474f-b69d-5638e029b292; 
2025-03-16 06:29:53; Open ; setting/menu; ; 
2025-03-16 06:29:57; Open ; setting/menu; ; 
2025-03-16 06:30:02; Delete ; setting/menu; 16eea9c6-024a-465c-98fc-cf961020bf2f; 
2025-03-16 06:30:04; Delete ; setting/menu; 164336ec-6473-41d6-a767-71c39faa88ed; 
2025-03-16 06:30:19; Open ; setting/menu; ; 
2025-03-16 06:30:35; Delete ; setting/menu; 89f125e0-e121-43bf-bb4f-524c1e8af527; 
2025-03-16 06:30:36; Delete ; setting/menu; efd83270-f040-4668-b6df-714b1aeade61; 
2025-03-16 06:30:37; Delete ; setting/menu; 648e94b8-9c97-45e2-a9e0-7b5eaca256ae; 
2025-03-16 06:30:38; Delete ; setting/menu; 6151e12a-0776-41ae-bbc2-ca09cd709b75; 
2025-03-16 06:30:39; Delete ; setting/menu; 131fb39c-9f01-4750-b224-24f0c6c91936; 
2025-03-16 06:30:53; Delete ; setting/menu; d5390b62-29c4-4a64-afc1-f3c9dd9d9d89; 
2025-03-16 06:30:54; Delete ; setting/menu; 63893da3-6adb-4e2b-81c3-7fa908c91267; 
2025-03-16 06:30:55; Delete ; setting/menu; af422ef9-e3c1-42a7-833b-249841bdb632; 
2025-03-16 06:30:57; Delete ; setting/menu; 0b3baa64-f1cb-4df4-85fb-81930f87c578; 
2025-03-16 06:30:58; Delete ; setting/menu; 1a33099d-051a-4e3c-bc68-1fb67212bfac; 
2025-03-16 06:30:59; Delete ; setting/menu; 8fe600da-9b7f-4e97-a59d-6eb4b7532694; 
2025-03-16 06:31:01; Open ; setting/menu; ; 
2025-03-16 06:31:23; Delete ; setting/menu; 86c15212-7c9c-4614-884d-a75f37c14287; 
2025-03-16 06:31:24; Delete ; setting/menu; 2133b330-5c9d-42d3-8808-b707c13ae6e4; 
2025-03-16 06:31:26; Delete ; setting/menu; 4eac157c-d10f-4563-a3ab-4d5248ece50b; 
2025-03-16 06:31:47; Delete ; setting/menu; da04e900-b93c-4e6f-af72-aa6a2c9f0256; 
2025-03-16 06:31:53; Delete ; setting/menu; 94c5192e-1cf3-416e-ac23-b09111122dff; 
2025-03-16 06:31:56; Delete ; setting/menu; 66f22c34-ed0b-426d-8c00-bb46caf51764; 
2025-03-16 06:31:57; Open ; setting/menu; ; 
2025-03-16 06:32:01; Open ; setting/defaults; ; 
2025-03-16 06:32:26; Open ; setting/menu; ; 
2025-03-16 06:32:34; Open ; setting/defaults; ; 
2025-03-16 06:32:35; Open ; setting/menu; ; 
2025-03-16 06:32:43; Open ; dashboard; ; 
2025-03-16 06:33:38; Open ; setting/defaults; ; 
2025-03-16 06:33:40; Open ; setting/combo; ; 
2025-03-16 06:33:51; Delete ; setting/combo; 11d01a62-0b47-49e0-a7c6-898a64b0ed3e; 
2025-03-16 06:33:53; Delete ; setting/combo; 59bc2a9e-f1dc-4d75-b3af-e4481a4b9f6f; 
2025-03-16 06:33:58; Delete ; setting/combo; 29b90ffd-5abe-4790-a7c8-0cb4c33683d7; 
2025-03-16 06:34:01; Delete ; setting/combo; fc4a8ca9-13c2-4109-b5aa-ae947b04c736; 
2025-03-16 06:34:03; Delete ; setting/combo; 908643a6-d336-4f1f-9fb5-0d079bda75b8; 
2025-03-16 06:34:07; Delete ; setting/combo; 0d67d151-119a-4f2c-932c-b5e45abd2ac5; 
2025-03-16 06:34:09; Delete ; setting/combo; 9ae7537e-0a5c-470d-84f9-63502ddd5d8c; 
2025-03-16 06:34:43; Delete ; setting/combo; 611980f2-ad1f-43b6-88a9-e2b20cba2d9a; 
2025-03-16 06:34:47; Delete ; setting/combo; b243f440-7a38-4cc3-9c01-eadcfd4fb95b; 
2025-03-16 06:35:02; Open ; master/wilayah/provinsi; ; 
2025-03-16 06:35:57; Open ; master/wilayah/provinsi; ; 
2025-03-16 06:35:58; Open ; master/wilayah/provinsi; ; 
2025-03-16 06:36:06; Open ; master/wilayah/provinsi; ; 
2025-03-16 06:36:16; Open ; master/wilayah/kota; ; 
2025-03-16 06:36:20; Open ; master/wilayah/kecamatan; ; 
2025-03-16 06:36:27; Open ; master/wilayah/kelurahan; ; 
2025-03-16 06:38:12; Open ; setting/user_group; ; 
2025-03-16 06:38:19; Open ; setting/combo; ; 
